id,rel_output,rel_type
trm_5159beaf80413,trm_557b471bc6cd8,isPartOf
trm_4a3fd79d09849,trm_4a3fd79d09849,isSelf
trm_4a3fd79d09849,trm_557b4a81a4a17,hasKind
trm_4a3fd79d09849,trm_557b48a224b95,hasKind
trm_4a3fd79d09849,trm_4ebfe9a465449,hasPart
trm_4a3fd79d09849,trm_4f4511e519b53,isPartOf
trm_4a3fd79d09849,trm_557b49851e991,isPartOf
trm_4a3fd79d09849,trm_559f0a5b4cd36,isPartOf
trm_4a3fd79d09849,trm_557b491318742,isPartOf
trm_523e024c14df9,trm_523e024c14df9,isSelf
trm_5022ef7599294,trm_5022ef7599294,isSelf
trm_5022ef7599294,ctp_C8,inCategory
trm_5022ef7599294,trm_4a3fd79d0a17f,isKindOf
trm_4a3fd79d09855,trm_4a3fd79d09855,isSelf
trm_4a3fd79d09855,ctp_C1,inCategory
trm_4a3fd79d09855,trm_4a3fd79d0b4b5,isKindOf
trm_4a3fd79d09855,trm_4fb2c38960950,isKindOf
trm_4a3fd79d0986c,trm_4a3fd79d0986c,isSelf
trm_52583e083c9ab,trm_52583e083c9ab,isSelf
trm_4a3fd79d09877,trm_4a3fd79d09877,isSelf
trm_4a3fd79d09877,ctp_C10,inCategory
trm_558c7ae1eaf86,trm_558c7ae1eaf86,isSelf
trm_558c7ae1eaf86,trm_55b6b8e291dba,hasKind
trm_558c7ae1eaf86,trm_557b4b47d994a,hasPart
trm_4a3fd79d09883,trm_4a3fd79d09883,isSelf
trm_4a3fd79d09883,ctp_C8,inCategory
trm_4a3fd79d0988f,trm_4a3fd79d0988f,isSelf
trm_4a3fd79d0988f,ctp_C6,inCategory
trm_4a3fd79d0ba19,trm_4a3fd79d0ba19,isSelf
trm_4a3fd79d0ba19,ctp_C5,inCategory
trm_4a3fd79d0ba19,trm_4a3fd79d0ba60,isKindOf
trm_4a3fd79d0ba19,trm_4a3fd79d0b5a7,isPartOf
trm_4a3fd79d0989a,trm_4a3fd79d0989a,isSelf
trm_4a3fd79d0989a,ctp_C6,inCategory
trm_4a3fd79d0989a,trm_4a3fd79d0b247,isPartOf
trm_4a3fd79d098a6,trm_4a3fd79d098a6,isSelf
trm_4a3fd79d098a6,ctp_C5,inCategory
trm_4a3fd79d098a6,trm_4a3fd79d0ba54,isKindOf
trm_4a3fd79d098a6,trm_4a3fd79d0ba60,isPartOf
trm_4a3fd79d098b2,trm_4a3fd79d098b2,isSelf
trm_4a3fd79d098b2,trm_4a3fd79d0a275,isKindOf
trm_4a3fd79d098bd,trm_4a3fd79d098bd,isSelf
trm_4a3fd79d098bd,trm_4a3fd79d0a891,isPartOf
trm_4a3fd79d098c9,trm_4a3fd79d098c9,isSelf
trm_4a3fd79d098c9,ctp_C5,inCategory
trm_4a3fd79d098c9,trm_4a3fd79d0ab70,hasKind
trm_4a3fd79d098c9,trm_565bce2791089,isKindOf
trm_4a3fd79d098c9,trm_4a3fd79d0a642,isPartOf
trm_5521a5f310604,trm_5521a5f310604,isSelf
trm_5521a5f310604,trm_4e89aebaa311d,isKindOf
trm_4a3fd79d098e0,trm_4a3fd79d098e0,isSelf
trm_4a3fd79d098e0,ctp_C9,inCategory
trm_4a3fd79d098eb,trm_4a3fd79d098eb,isSelf
trm_4a3fd79d098f7,trm_4a3fd79d098f7,isSelf
trm_4a3fd79d09902,trm_4a3fd79d09902,isSelf
trm_4a3fd79d09902,ctp_C2,inCategory
trm_4a3fd79d09902,trm_4a3fd79d0a116,hasKind
trm_4a3fd79d09902,trm_4a3fd79d09a10,hasKind
trm_4a3fd79d09902,trm_4a3fd79d0ab4d,hasKind
trm_4a3fd79d09902,trm_56006cb5a61ac,hasKind
trm_4a3fd79d09902,trm_4a3fd79d0b311,hasKind
trm_4a3fd79d09902,trm_4a3fd79d0b46f,hasKind
trm_4a3fd79d09902,trm_4feb3f8c551cb,hasKind
trm_4a3fd79d09902,trm_4feb3ffa1ab51,hasKind
trm_4a3fd79d09902,trm_4a3fd79d0b043,hasKind
trm_4a3fd79d09902,trm_4a3fd79d0990e,hasPart
trm_4a3fd79d09902,trm_4a3fd79d0b5e3,hasPart
trm_4a3fd79d09902,trm_4a3fd79d0b5ef,hasPart
trm_4a3fd79d09902,trm_4a3fd79d0b5ef,hasPart
trm_4a3fd79d09902,trm_552185f5cda66,hasPart
trm_4a3fd79d09902,trm_5524572b66764,hasPart
trm_4a3fd79d09902,trm_4a3fd79d0b4cd,isPartOf
trm_4a3fd79d09902,trm_4fea1aeaa7b17,isPartOf
trm_4a3fd79d09902,trm_4a3fd79d09e35,isPartOf
trm_4a3fd79d0990e,trm_4a3fd79d0990e,isSelf
trm_4a3fd79d0990e,ctp_C2,inCategory
trm_4a3fd79d0990e,trm_4a3fd79d09902,isPartOf
trm_4a3fd79d0b5d7,trm_4a3fd79d0b5d7,isSelf
trm_4a3fd79d0b5d7,ctp_C2,inCategory
trm_4a3fd79d0b5fb,trm_4a3fd79d0b5fb,isSelf
trm_4a3fd79d0b5fb,ctp_C2,inCategory
trm_4a3fd79d0b5e3,trm_4a3fd79d0b5e3,isSelf
trm_4a3fd79d0b5e3,ctp_C2,inCategory
trm_4a3fd79d0b5e3,trm_4a3fd79d09902,isPartOf
trm_510059e54b2cf,trm_510059e54b2cf,isSelf
trm_4fea1aeaa7b17,trm_4fea1aeaa7b17,isSelf
trm_4fea1aeaa7b17,ctp_C2,inCategory
trm_4fea1aeaa7b17,trm_4a3fd79d09902,hasPart
trm_4a3fd79d09919,trm_4a3fd79d09919,isSelf
trm_4a3fd79d09919,ctp_C2,inCategory
trm_4a3fd79d09919,trm_4a3fd79d0a151,isKindOf
trm_4a3fd79d09919,trm_4a3fd79d09d4d,isPartOf
trm_4a3fd79d0b5ef,trm_4a3fd79d0b5ef,isSelf
trm_4a3fd79d0b5ef,ctp_C2,inCategory
trm_4a3fd79d0b5ef,trm_4a3fd79d09902,isPartOf
trm_4a3fd79d0b5ef,trm_4a3fd79d09902,isPartOf
trm_4a3fd79d09925,trm_4a3fd79d09925,isSelf
trm_4a3fd79d09925,ctp_C2,inCategory
trm_4a3fd79d09925,trm_4f3a72a028d90,isKindOf
trm_4a3fd79d09930,trm_4a3fd79d09930,isSelf
trm_4a3fd79d09930,ctp_C2,inCategory
trm_4a3fd79d09947,trm_4a3fd79d09947,isSelf
trm_4a3fd79d09953,trm_4a3fd79d09953,isSelf
trm_4a3fd79d09953,ctp_C1,inCategory
